step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
122,stage1_layout,0.464592,0.344955,0.239273,5.00e-05,0.1038
123,stage1_layout,0.457061,0.338561,0.237000,5.00e-05,0.0982
124,stage1_layout,0.466275,0.343089,0.246372,5.00e-05,0.1445
125,stage1_layout,0.452980,0.334909,0.236142,5.00e-05,0.1047
126,stage1_layout,0.464961,0.344014,0.241895,5.00e-05,0.1510
127,stage1_layout,0.461307,0.341409,0.239796,5.00e-05,0.0886
128,stage1_layout,0.459007,0.339674,0.238666,5.00e-05,0.0843
129,stage1_layout,0.455760,0.337637,0.236246,5.00e-05,0.0903
130,stage1_layout,0.459627,0.340454,0.238345,5.00e-05,0.0725
131,stage1_layout,0.467472,0.345690,0.243564,5.00e-05,0.1431
132,stage1_layout,0.459984,0.341247,0.237474,5.00e-05,0.1049
133,stage1_layout,0.454757,0.337260,0.234993,5.00e-05,0.0998
134,stage1_layout,0.466783,0.346348,0.240871,5.00e-05,0.0840
135,stage1_layout,0.462984,0.342247,0.241473,5.00e-05,0.1567
136,stage1_layout,0.459924,0.341532,0.236784,5.00e-05,0.0789
137,stage1_layout,0.467862,0.346943,0.241837,5.00e-05,0.1508
138,stage1_layout,0.455428,0.337528,0.235799,5.00e-05,0.0763
139,stage1_layout,0.467251,0.346337,0.241828,5.00e-05,0.1028
140,stage1_layout,0.453849,0.336088,0.235521,5.00e-05,0.1467
141,stage1_layout,0.462756,0.342137,0.241238,5.00e-05,0.0657
142,stage1_layout,0.457140,0.337497,0.239286,5.00e-05,0.1406
143,stage1_layout,0.467811,0.343783,0.248057,5.00e-05,0.1082
144,stage1_layout,0.456451,0.337715,0.237474,5.00e-05,0.0972
145,stage1_layout,0.456717,0.338449,0.236536,5.00e-05,0.0802
146,stage1_layout,0.463996,0.342275,0.243443,5.00e-05,0.1399
147,stage1_layout,0.467345,0.347184,0.240322,5.00e-05,0.1456
148,stage1_layout,0.460396,0.340504,0.239783,5.00e-05,0.0921
149,stage1_layout,0.449209,0.332971,0.232476,5.00e-05,0.1078
150,stage1_layout,0.459350,0.340799,0.237101,5.00e-05,0.0623
151,stage1_layout,0.453743,0.335539,0.236409,5.00e-05,0.1062
152,stage1_layout,0.452637,0.335212,0.234851,5.00e-05,0.0904
153,stage1_layout,0.461858,0.341016,0.241684,5.00e-05,0.1097
