step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
146,0,0.492115,0.001028,0.493143,9.94e-06,0.0434,0.05,
147,0,0.485404,0.001035,0.486440,9.94e-06,0.0373,0.04,
148,0,0.485521,0.001043,0.486564,9.94e-06,0.0368,0.04,
149,0,0.483600,0.001050,0.484650,9.93e-06,0.0475,0.04,
150,0,0.484127,0.001056,0.485183,9.93e-06,0.0427,0.04,
151,0,0.477205,0.001059,0.478264,9.93e-06,0.0411,0.04,
152,0,0.489455,0.001062,0.490516,9.92e-06,0.0511,0.05,
153,0,0.480569,0.001064,0.481633,9.92e-06,0.0656,0.04,
154,0,0.485281,0.001068,0.486349,9.92e-06,0.0684,0.04,
155,0,0.491018,0.001073,0.492091,9.92e-06,0.0345,0.05,
156,0,0.488068,0.001080,0.489149,9.91e-06,0.0431,0.05,
157,0,0.487673,0.001089,0.488762,9.91e-06,0.0378,0.05,
158,0,0.486338,0.001097,0.487435,9.91e-06,0.0431,0.05,
159,0,0.487253,0.001104,0.488357,9.90e-06,0.0366,0.05,
160,0,0.481045,0.001110,0.482155,9.90e-06,0.0397,0.05,
161,0,0.487047,0.001115,0.488162,9.90e-06,0.0340,0.05,
162,0,0.483503,0.001120,0.484623,9.89e-06,0.0336,0.05,
163,0,0.487220,0.001124,0.488344,9.89e-06,0.0493,0.05,
164,0,0.485633,0.001127,0.486760,9.88e-06,0.0915,0.05,
165,0,0.480987,0.001130,0.482117,9.88e-06,0.0464,0.04,
166,0,0.481098,0.001135,0.482233,9.88e-06,0.0592,0.04,
167,0,0.484294,0.001141,0.485435,9.87e-06,0.0430,0.04,
168,0,0.483396,0.001148,0.484544,9.87e-06,0.0441,0.04,
169,0,0.483287,0.001155,0.484442,9.87e-06,0.0366,0.04,
170,0,0.484130,0.001163,0.485294,9.86e-06,0.0349,0.05,
171,0,0.479959,0.001171,0.481130,9.86e-06,0.0395,0.05,
172,0,0.484158,0.001178,0.485336,9.85e-06,0.0362,0.05,
173,0,0.480527,0.001183,0.481710,9.85e-06,0.0454,0.04,
174,0,0.480892,0.001188,0.482081,9.85e-06,0.0343,0.04,
175,0,0.482150,0.001193,0.483342,9.84e-06,0.0668,0.04,
176,0,0.478754,0.001196,0.479950,9.84e-06,0.0485,0.04,
177,0,0.480360,0.001199,0.481559,9.83e-06,0.0412,0.05,
178,0,0.481136,0.001202,0.482338,9.83e-06,0.0347,0.05,
179,0,0.476526,0.001204,0.477730,9.82e-06,0.0701,0.05,
180,0,0.477623,0.001206,0.478829,9.82e-06,0.0551,0.04,
181,0,0.477304,0.001209,0.478513,9.81e-06,0.0586,0.04,
182,0,0.481605,0.001213,0.482818,9.81e-06,0.0352,0.05,
183,0,0.487148,0.001218,0.488366,9.81e-06,0.0939,0.05,
184,0,0.481700,0.001223,0.482923,9.80e-06,0.0398,0.05,
185,0,0.482295,0.001230,0.483525,9.80e-06,0.0703,0.05,
