step,epoch,loss_jepa,loss_total,lr,grad_norm,throughput,val_loss
183,2,0.473707,0.473707,5.00e-05,0.0831,0.08,
184,2,0.460633,0.460633,5.00e-05,0.0880,0.08,
185,2,0.465255,0.465255,5.00e-05,0.1420,0.08,
186,2,0.453501,0.453501,5.00e-05,0.2052,0.08,
187,2,0.470624,0.470624,5.00e-05,0.0938,0.09,
188,2,0.472015,0.472015,5.00e-05,0.1336,0.10,
189,2,0.456781,0.456781,5.00e-05,0.1667,0.09,
190,2,0.463989,0.463989,4.99e-05,0.1152,0.07,
191,2,0.466670,0.466670,4.99e-05,0.0728,0.08,
192,2,0.457040,0.457040,4.99e-05,0.1280,0.08,
193,2,0.468521,0.468521,4.99e-05,0.1137,0.08,
194,2,0.474614,0.474614,4.99e-05,0.0949,0.08,
194,2,,,,,,0.465692
195,2,0.464762,0.464762,4.99e-05,0.0758,0.01,
196,2,0.462221,0.462221,4.99e-05,0.0667,0.08,
197,2,0.467550,0.467550,4.99e-05,0.0868,0.08,
198,2,0.475997,0.475997,4.99e-05,0.0986,0.08,
199,2,0.458221,0.458221,4.99e-05,0.1075,0.08,
200,2,0.458719,0.458719,4.99e-05,0.1397,0.07,
201,2,0.472104,0.472104,4.99e-05,0.1035,0.08,
202,2,0.453856,0.453856,4.99e-05,0.0937,0.07,
203,2,0.459148,0.459148,4.99e-05,0.1025,0.07,
204,2,0.460961,0.460961,4.98e-05,0.0749,0.07,
205,2,0.457525,0.457525,4.98e-05,0.1617,0.08,
206,2,0.466746,0.466746,4.98e-05,0.1468,0.08,
207,2,0.459356,0.459356,4.98e-05,0.0823,0.08,
208,2,0.462547,0.462547,4.98e-05,0.1334,0.08,
209,2,0.466012,0.466012,4.98e-05,0.0871,0.08,
209,2,,,,,,0.461778
210,2,0.472570,0.472570,4.98e-05,0.0839,0.01,
211,2,0.461330,0.461330,4.98e-05,0.1475,0.07,
212,2,0.462196,0.462196,4.98e-05,0.0826,0.08,
213,2,0.461804,0.461804,4.98e-05,0.0929,0.08,
214,2,0.466437,0.466437,4.97e-05,0.1227,0.08,
215,2,0.464452,0.464452,4.97e-05,0.0897,0.08,
216,2,0.454539,0.454539,4.97e-05,0.1041,0.08,
217,2,0.469572,0.469572,4.97e-05,0.0911,0.08,
218,2,0.461995,0.461995,4.97e-05,0.0900,0.08,
219,2,0.467753,0.467753,4.97e-05,0.1366,0.08,
220,2,0.465156,0.465156,4.97e-05,0.1232,0.09,
221,2,0.467690,0.467690,4.97e-05,0.1232,0.08,
222,2,0.472051,0.472051,4.96e-05,0.0965,0.09,
223,2,0.460931,0.460931,4.96e-05,0.1068,0.08,
224,2,0.462176,0.462176,4.96e-05,0.0839,0.08,
224,2,,,,,,0.464093
225,2,0.467300,0.467300,4.96e-05,0.0890,0.01,
226,2,0.458306,0.458306,4.96e-05,0.1025,0.07,
227,2,0.474606,0.474606,4.96e-05,0.0984,0.08,
