step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
98,1,1.522249,0.002379,1.524628,9.35e-06,0.0838,0.04
99,1,1.532857,0.002388,1.535244,9.33e-06,0.0845,0.04
100,1,1.520624,0.002398,1.523022,9.31e-06,0.1361,0.04
101,1,1.516098,0.002408,1.518506,9.29e-06,0.0793,0.04
102,1,1.504367,0.002414,1.506782,9.26e-06,0.1189,0.04
103,1,1.490834,0.002419,1.493254,9.24e-06,0.1079,0.04
104,1,1.516138,0.002421,1.518559,9.22e-06,0.0928,0.03
105,1,1.517755,0.002423,1.520178,9.19e-06,0.0912,0.04
106,1,1.515784,0.002425,1.518209,9.17e-06,0.0847,0.04
107,1,1.521852,0.002426,1.524278,9.15e-06,0.0730,0.04
108,1,1.525702,0.002426,1.528128,9.12e-06,0.1294,0.04
109,1,1.534787,0.002423,1.537210,9.10e-06,0.0915,0.04
110,1,1.529221,0.002420,1.531641,9.07e-06,0.0859,0.04
111,1,1.523835,0.002418,1.526253,9.05e-06,0.0934,0.04
112,1,1.525649,0.002416,1.528065,9.02e-06,0.1033,0.03
113,1,1.519714,0.002412,1.522125,8.99e-06,0.1072,0.05
114,1,1.513251,0.002408,1.515659,8.97e-06,0.1026,0.04
115,1,1.524799,0.002403,1.527202,8.94e-06,0.1213,0.04
116,1,1.522191,0.002396,1.524587,8.91e-06,0.0830,0.04
117,1,1.509332,0.002389,1.511721,8.89e-06,0.0989,0.04
118,1,1.531197,0.002381,1.533578,8.86e-06,0.1019,0.04
119,1,1.522484,0.002376,1.524860,8.83e-06,0.0859,0.04
120,1,1.503036,0.002371,1.505408,8.80e-06,0.0998,0.03
121,1,1.495885,0.002368,1.498252,8.77e-06,0.1532,0.04
122,1,1.525582,0.002366,1.527948,8.74e-06,0.1077,0.04
123,1,1.526204,0.002365,1.528569,8.72e-06,0.1261,0.04
124,1,1.515085,0.002365,1.517450,8.69e-06,0.0911,0.04
125,1,1.533514,0.002365,1.535879,8.66e-06,0.1074,0.04
126,1,1.560434,0.002367,1.562801,8.63e-06,0.0956,0.04
127,1,1.533664,0.002372,1.536037,8.60e-06,0.0852,0.04
128,1,1.507266,0.002379,1.509645,8.57e-06,0.0823,0.03
129,1,1.520410,0.002384,1.522794,8.54e-06,0.0990,0.04
130,1,1.516225,0.002388,1.518613,8.50e-06,0.1124,0.04
131,1,1.525268,0.002392,1.527660,8.47e-06,0.0970,0.04
132,1,1.494952,0.002396,1.497348,8.44e-06,0.1101,0.04
133,1,1.508417,0.002400,1.510817,8.41e-06,0.1347,0.04
134,1,1.509874,0.002403,1.512277,8.38e-06,0.0882,0.04
135,1,1.523217,0.002406,1.525623,8.35e-06,0.1254,0.04
136,1,1.521067,0.002409,1.523476,8.31e-06,0.0782,0.03
137,1,1.509109,0.002411,1.511519,8.28e-06,0.0900,0.04
138,1,1.514863,0.002412,1.517274,8.25e-06,0.0891,0.04
139,1,1.486660,0.002410,1.489070,8.21e-06,0.0940,0.04
140,1,1.515494,0.002408,1.517902,8.18e-06,0.0900,0.04
141,1,1.525294,0.002406,1.527700,8.15e-06,0.1521,0.04
142,1,1.506643,0.002405,1.509048,8.11e-06,0.1535,0.04
143,1,1.547756,0.002404,1.550160,8.08e-06,0.1016,0.04
144,1,1.511747,0.002404,1.514151,8.04e-06,0.1240,0.03
145,1,1.499309,0.002404,1.501713,8.01e-06,0.0820,0.04
146,1,1.501552,0.002402,1.503955,7.97e-06,0.6255,0.04
147,1,1.525485,0.002402,1.527887,7.94e-06,0.1063,0.04
148,1,1.508279,0.002404,1.510683,7.90e-06,0.0836,0.04
149,1,1.510305,0.002407,1.512712,7.87e-06,0.1138,0.04
150,1,1.505770,0.002410,1.508180,7.83e-06,0.1070,0.04
151,1,1.493135,0.002414,1.495549,7.80e-06,0.1059,0.04
152,1,1.488306,0.002417,1.490723,7.76e-06,0.0878,0.03
153,1,1.516468,0.002419,1.518888,7.72e-06,0.0840,0.04
154,1,1.493787,0.002423,1.496210,7.69e-06,0.0902,0.04
155,1,1.509522,0.002425,1.511947,7.65e-06,0.0966,0.04
156,1,1.498476,0.002427,1.500903,7.61e-06,0.0953,0.04
157,1,1.528894,0.002429,1.531323,7.58e-06,0.0903,0.04
158,1,1.519280,0.002430,1.521709,7.54e-06,0.0941,0.04
159,1,1.524981,0.002431,1.527412,7.50e-06,0.1014,0.04
160,2,1.531237,0.002432,1.533669,7.46e-06,0.1001,0.03
161,2,1.475758,0.002431,1.478189,7.42e-06,0.1777,0.15
162,2,1.489593,0.002430,1.492023,7.39e-06,0.1452,0.07
163,2,1.476421,0.002431,1.478852,7.35e-06,0.1043,0.04
164,2,1.503771,0.002433,1.506204,7.31e-06,0.0747,0.04
165,2,1.513162,0.002435,1.515598,7.27e-06,0.0814,0.05
166,2,1.526898,0.002438,1.529336,7.23e-06,0.1048,0.05
167,2,1.521316,0.002442,1.523759,7.19e-06,0.0886,0.05
168,2,1.490165,0.002447,1.492612,7.15e-06,0.0902,0.03
169,2,1.496077,0.002450,1.498526,7.11e-06,0.1015,0.04
170,2,1.512638,0.002451,1.515090,7.07e-06,0.1235,0.04
171,2,1.504611,0.002452,1.507064,7.03e-06,0.0908,0.04
172,2,1.502466,0.002450,1.504916,6.99e-06,0.0980,0.04
173,2,1.501569,0.002446,1.504015,6.95e-06,0.0814,0.04
174,2,1.499852,0.002441,1.502293,6.91e-06,0.1375,0.04
175,2,1.484010,0.002437,1.486447,6.87e-06,0.1509,0.04
176,2,1.499266,0.002435,1.501700,6.83e-06,0.1988,0.03
177,2,1.523855,0.002434,1.526289,6.79e-06,0.0999,0.04
178,2,1.530124,0.002434,1.532558,6.75e-06,0.0813,0.04
179,2,1.516694,0.002435,1.519129,6.71e-06,0.0958,0.04
180,2,1.521855,0.002437,1.524292,6.67e-06,0.0895,0.04
181,2,1.511430,0.002440,1.513869,6.63e-06,0.1069,0.04
182,2,1.509234,0.002441,1.511676,6.59e-06,0.0953,0.04
183,2,1.493797,0.002441,1.496239,6.55e-06,0.1086,0.04
184,2,1.482740,0.002440,1.485180,6.50e-06,0.1097,0.03
185,2,1.509802,0.002437,1.512239,6.46e-06,0.0937,0.04
186,2,1.520821,0.002433,1.523254,6.42e-06,0.0803,0.04
187,2,1.527049,0.002429,1.529478,6.38e-06,0.2838,0.04
188,2,1.525885,0.002426,1.528311,6.34e-06,0.0837,0.04
189,2,1.517979,0.002422,1.520401,6.29e-06,0.0902,0.04
190,2,1.539719,0.002418,1.542137,6.25e-06,0.0820,0.04
191,2,1.527614,0.002413,1.530027,6.21e-06,0.0857,0.04
192,2,1.529822,0.002409,1.532231,6.17e-06,0.0810,0.03
193,2,1.538601,0.002405,1.541006,6.12e-06,0.0888,0.05
194,2,1.516337,0.002400,1.518737,6.08e-06,0.1021,0.04
195,2,1.515986,0.002395,1.518382,6.04e-06,0.1072,0.04
196,2,1.522527,0.002390,1.524917,6.00e-06,0.0867,0.04
197,2,1.514938,0.002385,1.517323,5.95e-06,0.1493,0.04
198,2,1.502484,0.002379,1.504863,5.91e-06,0.1077,0.04
199,2,1.533863,0.002373,1.536237,5.87e-06,0.0940,0.04
200,2,1.522077,0.002368,1.524444,5.83e-06,0.0806,0.03
201,2,1.507861,0.002362,1.510223,5.78e-06,0.1212,0.04
202,2,1.487924,0.002357,1.490281,5.74e-06,0.1071,0.04
203,2,1.508382,0.002353,1.510735,5.70e-06,0.0882,0.04
204,2,1.506846,0.002347,1.509194,5.65e-06,0.0947,0.04
205,2,1.510870,0.002342,1.513212,5.61e-06,0.1332,0.04
206,2,1.524290,0.002337,1.526627,5.57e-06,0.1059,0.04
207,2,1.552201,0.002333,1.554534,5.52e-06,0.1010,0.04
208,2,1.527675,0.002331,1.530005,5.48e-06,0.0883,0.03
209,2,1.517631,0.002329,1.519961,5.44e-06,0.1057,0.04
210,2,1.517154,0.002328,1.519482,5.39e-06,0.1013,0.04
211,2,1.491649,0.002326,1.493974,5.35e-06,0.0833,0.04
212,2,1.509053,0.002323,1.511376,5.31e-06,0.1402,0.04
213,2,1.493059,0.002319,1.495378,5.26e-06,0.0834,0.04
214,2,1.498041,0.002315,1.500356,5.22e-06,0.0889,0.04
215,2,1.510786,0.002310,1.513096,5.17e-06,0.0851,0.04
216,2,1.515020,0.002305,1.517325,5.13e-06,0.1054,0.03
217,2,1.511773,0.002301,1.514074,5.09e-06,0.0747,0.04
218,2,1.505958,0.002296,1.508254,5.04e-06,0.1006,0.04
219,2,1.521873,0.002291,1.524164,5.00e-06,0.2090,0.04
220,2,1.486808,0.002286,1.489093,4.96e-06,0.0983,0.04
221,2,1.506847,0.002281,1.509128,4.91e-06,0.0970,0.04
222,2,1.498390,0.002275,1.500665,4.87e-06,0.4203,0.04
223,2,1.502196,0.002271,1.504467,4.83e-06,0.5917,0.04
224,2,1.530999,0.002266,1.533264,4.78e-06,0.0913,0.03
225,2,1.510846,0.002262,1.513108,4.74e-06,0.0820,0.04
226,2,1.507344,0.002258,1.509602,4.69e-06,0.1031,0.04
227,2,1.497751,0.002254,1.500005,4.65e-06,0.5143,0.04
228,2,1.512802,0.002250,1.515052,4.61e-06,0.0857,0.04
229,2,1.492120,0.002245,1.494365,4.56e-06,0.0899,0.04
230,2,1.503712,0.002241,1.505953,4.52e-06,0.1030,0.04
231,2,1.499471,0.002236,1.501706,4.48e-06,0.0928,0.04
232,2,1.483409,0.002231,1.485640,4.43e-06,0.1019,0.03
233,2,1.514831,0.002227,1.517058,4.39e-06,0.0894,0.05
234,2,1.514907,0.002222,1.517130,4.35e-06,0.0798,0.04
235,2,1.496016,0.002218,1.498234,4.30e-06,0.0979,0.04
236,2,1.498897,0.002214,1.501110,4.26e-06,0.0887,0.04
237,2,1.496810,0.002209,1.499019,4.22e-06,0.1087,0.04
238,2,1.518371,0.002205,1.520576,4.17e-06,0.1005,0.04
239,2,1.508032,0.002200,1.510232,4.13e-06,0.0782,0.04
240,3,1.531376,0.002195,1.533571,4.09e-06,0.3991,0.03
241,3,1.515121,0.002190,1.517311,4.05e-06,0.1127,0.04
242,3,1.459987,0.002185,1.462171,4.00e-06,0.2013,0.06
243,3,1.483116,0.002180,1.485296,3.96e-06,0.1174,0.04
244,3,1.474518,0.002177,1.476695,3.92e-06,0.1668,0.04
245,3,1.502314,0.002173,1.504487,3.88e-06,0.0904,0.04
246,3,1.503020,0.002171,1.505192,3.83e-06,0.0966,0.04
247,3,1.509082,0.002170,1.511251,3.79e-06,0.0872,0.04
248,3,1.502560,0.002168,1.504728,3.75e-06,0.0835,0.03
