step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
134,stage1_layout,0.472534,0.345123,0.254822,1.00e-05,0.2847
135,stage1_layout,0.462262,0.338669,0.247186,1.00e-05,0.1359
136,stage1_layout,0.468964,0.344061,0.249808,1.00e-05,0.2046
137,stage1_layout,0.471072,0.344387,0.253370,1.00e-05,0.2440
138,stage1_layout,0.465455,0.340123,0.250665,1.00e-05,0.1602
139,stage1_layout,0.473991,0.347274,0.253435,1.00e-05,0.1170
140,stage1_layout,0.479464,0.350340,0.258249,1.00e-05,0.1649
141,stage1_layout,0.473110,0.345951,0.254317,1.00e-05,0.1863
142,stage1_layout,0.461093,0.336535,0.249118,1.00e-05,0.1491
143,stage1_layout,0.463279,0.339988,0.246581,1.00e-05,0.1578
144,stage1_layout,0.463325,0.339128,0.248394,1.00e-05,0.1791
145,stage1_layout,0.475613,0.349346,0.252532,1.00e-05,0.1213
146,stage1_layout,0.464328,0.339796,0.249065,1.00e-05,0.1882
147,stage1_layout,0.479800,0.352231,0.255137,1.00e-05,0.1518
148,stage1_layout,0.467903,0.342501,0.250804,1.00e-05,0.1930
149,stage2_agent,0.466733,0.338924,0.255617,6.90e-07,0.2485
